"analysis_id","predictor_label","outcome_label","level","b1_mean","b1_median","b1_lo","b1_hi","rr_median","rr_lo","rr_hi","p_negative"
"nckp_vdl_pcv7","NCKP immunogenicity (US, Whitney/Kaiser)","van der Linden 2016 PCV7 IPD (Germany, at least one dose)","global",-0.547543707714954,-0.533846259283613,-0.87546143137723,-0.310243754912548,0.586345390598485,0.416669710834733,0.733268196713256,0.99925
"nckp_vdl_pcv7","NCKP immunogenicity (US, Whitney/Kaiser)","van der Linden 2016 PCV7 IPD (Germany, at least one dose)","4",-0.637591448955101,-0.574067634362228,-1.39928908769924,-0.260203515022969,0.563229760148139,0.246772335085968,0.770894681189136,0.998916666666667
"nckp_vdl_pcv7","NCKP immunogenicity (US, Whitney/Kaiser)","van der Linden 2016 PCV7 IPD (Germany, at least one dose)","6B",-0.59622046365989,-0.573717150025446,-0.958646272843098,-0.348967510921907,0.563427197954488,0.383411569471798,0.70541604821474,1
"nckp_vdl_pcv7","NCKP immunogenicity (US, Whitney/Kaiser)","van der Linden 2016 PCV7 IPD (Germany, at least one dose)","9V",-0.667268938024267,-0.600178591851538,-1.42652124447964,-0.302824404824797,0.548713631559457,0.240142869185828,0.73872880219574,0.999583333333333
"nckp_vdl_pcv7","NCKP immunogenicity (US, Whitney/Kaiser)","van der Linden 2016 PCV7 IPD (Germany, at least one dose)","14",-0.563981629877579,-0.549230056479461,-0.870586096184598,-0.339050620231886,0.577394200204245,0.418706075285797,0.712446383975224,1
"nckp_vdl_pcv7","NCKP immunogenicity (US, Whitney/Kaiser)","van der Linden 2016 PCV7 IPD (Germany, at least one dose)","18C",-0.396815475211938,-0.4101544771934,-0.666737785660302,-0.0690207412344224,0.663547739226282,0.51338060662215,0.933307321931494,0.99075
"nckp_vdl_pcv7","NCKP immunogenicity (US, Whitney/Kaiser)","van der Linden 2016 PCV7 IPD (Germany, at least one dose)","19F",-0.49270219723588,-0.495528682857654,-0.799767378081282,-0.181252010733851,0.609248722781317,0.449433500041192,0.834225098523716,0.99775
"nckp_vdl_pcv7","NCKP immunogenicity (US, Whitney/Kaiser)","van der Linden 2016 PCV7 IPD (Germany, at least one dose)","23F",-0.488604749182619,-0.491481644567505,-0.781380910452853,-0.192616657612539,0.611719371723943,0.457773430521793,0.824798093614619,0.998916666666667
