"contrast","serotype","diff_mean","diff_median","diff_lo","diff_hi","p_gt_0","p_lt_0"
"navajo_vdl_pcv7 - nckp_vdl_pcv7","4",-0.0356041145034961,-0.0355121656784818,-0.903410926380509,0.80834265290043,0.452166666666667,0.547833333333333
"navajo_vdl_pcv7 - nckp_vdl_pcv7","6B",-0.0641037278945129,-0.053462441585501,-0.559373213905682,0.397137950101098,0.39325,0.60675
"navajo_vdl_pcv7 - nckp_vdl_pcv7","9V",-0.0623927311910316,-0.0508455120690553,-0.999988449277244,0.796668503139852,0.435416666666667,0.564583333333333
"navajo_vdl_pcv7 - nckp_vdl_pcv7","14",-0.00405062679321226,-0.00639156471440838,-0.369471573521981,0.378214689351123,0.48375,0.51625
"navajo_vdl_pcv7 - nckp_vdl_pcv7","18C",-0.0368259160083619,-0.038106291983215,-0.47857409277425,0.412702817301904,0.43625,0.56375
"navajo_vdl_pcv7 - nckp_vdl_pcv7","19F",-0.0694126692408161,-0.063042200217138,-0.54748982166974,0.371914870007054,0.379083333333333,0.620916666666667
"navajo_vdl_pcv7 - nckp_vdl_pcv7","23F",-0.0397892696197134,-0.0378058159477575,-0.478777409880022,0.390294668091608,0.426916666666667,0.573083333333333
"south_africa_vdl_pcv7 - nckp_vdl_pcv7","4",-0.109902744034351,-0.0896030792099294,-1.12310526229297,0.774828556498739,0.383833333333333,0.616166666666667
"south_africa_vdl_pcv7 - nckp_vdl_pcv7","6B",-0.110650348682482,-0.102653353038073,-0.610879864558313,0.367734750073837,0.317166666666667,0.682833333333333
"south_africa_vdl_pcv7 - nckp_vdl_pcv7","9V",-0.149574966875626,-0.123646888005273,-1.18857080417509,0.729798811952342,0.34825,0.65175
"south_africa_vdl_pcv7 - nckp_vdl_pcv7","14",-0.178396589534253,-0.162914443418147,-0.689033020172826,0.263116928793478,0.217666666666667,0.782333333333333
"south_africa_vdl_pcv7 - nckp_vdl_pcv7","18C",-0.0224553680149588,-0.0248302455483741,-0.480807365683874,0.432843188515395,0.460833333333333,0.539166666666667
"south_africa_vdl_pcv7 - nckp_vdl_pcv7","19F",-0.0293782954331028,-0.0336547152384132,-0.469817656409224,0.428649868816425,0.43725,0.56275
"south_africa_vdl_pcv7 - nckp_vdl_pcv7","23F",-0.0552741813999741,-0.0582364238029487,-0.517697575508103,0.408495543572378,0.40175,0.59825
