"contrast","diff_mean","diff_median","diff_lo","diff_hi","p_gt_0","p_lt_0"
"navajo_vdl_pcv7 - nckp_vdl_pcv7",-0.0452736340114688,-0.0433070170823084,-0.479107588900241,0.385506215564839,0.398,0.602
"south_africa_vdl_pcv7 - nckp_vdl_pcv7",-0.0972210639731524,-0.090041146195036,-0.595511988433254,0.352299014431097,0.31575,0.68425
