"contrast","serotype","diff_mean","diff_median","diff_lo","diff_hi","p_gt_0","p_lt_0"
"wisspar_tw_vdl_pcv13 - wisspar_de_vdl_pcv13","1",0.148998708550197,0.148042190518447,-0.36573634755601,0.659147052723782,0.726166666666667,0.273833333333333
"wisspar_tw_vdl_pcv13 - wisspar_de_vdl_pcv13","3",-0.00927693024807299,-0.00866998267753122,-0.488759185388155,0.472516910117325,0.4865,0.5135
"wisspar_tw_vdl_pcv13 - wisspar_de_vdl_pcv13","6A",-0.759427607855906,-0.6923717208927,-3.44481076754296,1.51042878433783,0.251166666666667,0.748833333333333
"wisspar_tw_vdl_pcv13 - wisspar_de_vdl_pcv13","7F",-0.0125522711137568,-0.0102413338517565,-0.807781520944851,0.753385315059518,0.488666666666667,0.511333333333333
"wisspar_tw_vdl_pcv13 - wisspar_de_vdl_pcv13","19A",-1.30932424736573,-1.22928750164114,-3.25477616061871,0.153161959941167,0.0461666666666667,0.953833333333333
"wisspar_kr_vdl_pcv13 - wisspar_de_vdl_pcv13","1",0.194817964766736,0.195386450499836,-0.295665005211052,0.690779939254669,0.784416666666667,0.215583333333333
"wisspar_kr_vdl_pcv13 - wisspar_de_vdl_pcv13","3",0.0563622814741438,0.0547054686490659,-0.397599419701113,0.502783207266179,0.597833333333333,0.402166666666667
"wisspar_kr_vdl_pcv13 - wisspar_de_vdl_pcv13","6A",-0.184282460722548,-0.171519242443141,-2.34218184028763,1.95332820998356,0.421083333333333,0.578916666666667
"wisspar_kr_vdl_pcv13 - wisspar_de_vdl_pcv13","7F",0.11454826465944,0.106872208763279,-0.564166579764472,0.826394495041213,0.632166666666667,0.367833333333333
"wisspar_kr_vdl_pcv13 - wisspar_de_vdl_pcv13","19A",-0.527425880653553,-0.506051930270525,-1.58257683271479,0.376911326954356,0.1435,0.8565
