"study_id","label","n_serotypes","a_bar_mean","a_bar_median","a_bar_lo","a_bar_hi","rate_ratio_vs_global_median","rate_ratio_vs_global_lo","rate_ratio_vs_global_hi"
"whitney","Whitney IPD case counts (NCKP surveillance)",7,-5.13226959471335,-5.13143006919269,-5.30887131830361,-4.96118454597872,0.331774129605225,0.207208898856576,0.52377638974208
"andrews","Andrews 2019 PCV7 IPD case counts (England & Wales, >=1 dose)",7,-4.249566840066,-4.24838593381319,-4.43287085276808,-4.07380878293572,0.801356587228872,0.499275421690356,1.28161452231094
"vdl_pcv7","van der Linden 2016 PCV7 IPD (Germany, at least one dose)",7,-3.90587464730837,-3.90044162438841,-4.22613150294592,-3.60984855241684,1.12896457812647,0.675419804294455,1.87118938340062
"andrews_pcv13","Andrews 2019 PCV13 additional-serotype IPD (England & Wales, >=1 dose)",5,-3.10758468367584,-3.10604426852891,-3.27835372858758,-2.94297732763577,2.50516380513978,1.5528829353533,4.05406534592272
"vdl_pcv13","van der Linden 2016 PCV13 additional-serotype IPD (Germany, at least one dose)",5,-3.28586572669736,-3.28301158885565,-3.61082680630449,-2.98264001602924,2.09799723664198,1.24264118327376,3.58198225601446
