"analysis_id","predictor_label","outcome_label","level","b1_mean","b1_median","b1_lo","b1_hi","rr_median","rr_lo","rr_hi","p_negative"
"navajo","Navajo / American Indian immunogenicity","Whitney IPD case counts (NCKP surveillance)","global",-0.714349710922056,-0.70352085869102,-1.07138837662085,-0.411397520805556,0.494839971445994,0.342532622849261,0.662723432878186,0.9985
"navajo","Navajo / American Indian immunogenicity","Whitney IPD case counts (NCKP surveillance)","4",-0.512079898440351,-0.508367095666953,-0.720358549465454,-0.329033079995495,0.601476931654483,0.48657776248293,0.719619211353067,1
"navajo","Navajo / American Indian immunogenicity","Whitney IPD case counts (NCKP surveillance)","6B",-0.436404425040323,-0.434510744934047,-0.619396899169054,-0.264232787555586,0.64758142207609,0.538268970185091,0.767794785780301,1
"navajo","Navajo / American Indian immunogenicity","Whitney IPD case counts (NCKP surveillance)","9V",-1.12391923061222,-1.08769982183204,-1.74818735751722,-0.696868108350624,0.336990741658015,0.17408921913747,0.498142993141443,1
"navajo","Navajo / American Indian immunogenicity","Whitney IPD case counts (NCKP surveillance)","14",-0.597203599669048,-0.593433613926083,-0.771859843243007,-0.44704881755177,0.55242720279073,0.462152736873503,0.639512688069003,1
"navajo","Navajo / American Indian immunogenicity","Whitney IPD case counts (NCKP surveillance)","18C",-1.00855418140769,-0.992994340555695,-1.41248347733513,-0.697337657717124,0.370465727997469,0.243537711116663,0.497909145320431,1
"navajo","Navajo / American Indian immunogenicity","Whitney IPD case counts (NCKP surveillance)","19F",-0.541168462708002,-0.541355898978832,-0.768661490739398,-0.320175167296579,0.581958640051923,0.463633230544798,0.72602185064973,1
"navajo","Navajo / American Indian immunogenicity","Whitney IPD case counts (NCKP surveillance)","23F",-0.770325161111302,-0.762247738184643,-1.06647677288802,-0.511690077774099,0.466616415841426,0.34421914573386,0.599481551714769,1
