"analysis_id","predictor_label","outcome_label","level","b1_mean","b1_median","b1_lo","b1_hi","rr_median","rr_lo","rr_hi","p_negative"
"nckp","NCKP immunogenicity (US, Whitney/Kaiser)","Whitney IPD case counts (NCKP surveillance)","global",-0.607045080271132,-0.60304193900847,-0.80817343703715,-0.423805289815785,0.547144721182022,0.445671370039622,0.654551317309542,0.999833333333333
"nckp","NCKP immunogenicity (US, Whitney/Kaiser)","Whitney IPD case counts (NCKP surveillance)","4",-0.559738489003837,-0.55680644938402,-0.76397355133143,-0.37292653261195,0.573036164823396,0.465811817589284,0.688715829138419,1
"nckp","NCKP immunogenicity (US, Whitney/Kaiser)","Whitney IPD case counts (NCKP surveillance)","6B",-0.412332546140677,-0.411227066758854,-0.573218466005629,-0.257179603474819,0.662836406397288,0.563708240164244,0.773229326619623,1
"nckp","NCKP immunogenicity (US, Whitney/Kaiser)","Whitney IPD case counts (NCKP surveillance)","9V",-0.730869049558663,-0.717264018373971,-1.05607198612482,-0.490711514217125,0.488085824666566,0.347819369847293,0.612190656830212,1
"nckp","NCKP immunogenicity (US, Whitney/Kaiser)","Whitney IPD case counts (NCKP surveillance)","14",-0.643142115828593,-0.639263025538561,-0.817187801778691,-0.493892217248912,0.527681168322987,0.441671978822907,0.610246553598542,1
"nckp","NCKP immunogenicity (US, Whitney/Kaiser)","Whitney IPD case counts (NCKP surveillance)","18C",-0.789157004967463,-0.778868655702593,-1.05355771002324,-0.584672876509617,0.458924919808751,0.348694984083267,0.557288134037341,1
"nckp","NCKP immunogenicity (US, Whitney/Kaiser)","Whitney IPD case counts (NCKP surveillance)","19F",-0.479414515289659,-0.479949905343733,-0.65847343539045,-0.300265202765537,0.618814390323881,0.517640943988948,0.740621779690331,1
"nckp","NCKP immunogenicity (US, Whitney/Kaiser)","Whitney IPD case counts (NCKP surveillance)","23F",-0.643914888257881,-0.639566114910266,-0.873091730838157,-0.441094584361613,0.527521258004003,0.417658264098114,0.643331854562408,1
