"contrast","serotype","diff_mean","diff_median","diff_lo","diff_hi","p_gt_0","p_lt_0"
"wisspar_tw_vdl_pcv13 - wisspar_tw","1",-0.102659281061766,-0.0892227246548178,-0.497087235560035,0.206310660395955,0.2905,0.7095
"wisspar_tw_vdl_pcv13 - wisspar_tw","3",-0.287352778349234,-0.286657460816929,-0.665452539486153,0.0929851211798398,0.0680833333333333,0.931916666666667
"wisspar_tw_vdl_pcv13 - wisspar_tw","6A",-0.80473718673835,-0.648479306651341,-3.30743387473302,0.80986533517115,0.214,0.786
"wisspar_tw_vdl_pcv13 - wisspar_tw","7F",-0.34843248758628,-0.310666405381572,-1.04278769125857,0.111980146840065,0.08525,0.91475
"wisspar_tw_vdl_pcv13 - wisspar_tw","19A",0.978988323679952,0.99128459410189,-1.21213087786686,3.0972349746151,0.827,0.173
