"analysis_id","predictor_label","mu_b1_mean","mu_b1_median","mu_b1_lo","mu_b1_hi","rr_median","rr_lo","rr_hi","p_negative"
"nckp_andrews","NCKP immunogenicity (US, Whitney/Kaiser)",-0.725796134179386,-0.722428757494407,-0.90780268942435,-0.568202545067222,0.485571487251247,0.403409667208631,0.566542859298849,1
"nckp_vdl_pcv7","NCKP immunogenicity (US, Whitney/Kaiser)",-0.547543707714954,-0.533846259283613,-0.87546143137723,-0.310243754912548,0.586345390598485,0.416669710834733,0.733268196713256,0.99925
