"contrast","serotype","diff_mean","diff_median","diff_lo","diff_hi","p_gt_0","p_lt_0"
"south_africa_andrews - south_africa","4",-0.297253902613298,-0.294410468725721,-0.654323511439042,0.0454630701462413,0.0444166666666667,0.955583333333333
"south_africa_andrews - south_africa","6B",-0.151754758306756,-0.153091075986686,-0.395279517242656,0.0947525485062463,0.114833333333333,0.885166666666667
"south_africa_andrews - south_africa","9V",0.241847060944697,0.222562659363201,-0.257733987295106,0.86919438877722,0.806166666666667,0.193833333333333
"south_africa_andrews - south_africa","14",-0.237114756934505,-0.237991206254798,-0.583506919958762,0.107117869760264,0.0885,0.9115
"south_africa_andrews - south_africa","18C",0.253225831277639,0.241204406704896,-0.127331361254715,0.711225421042916,0.892166666666667,0.107833333333333
"south_africa_andrews - south_africa","19F",-0.370273271718718,-0.369795146633934,-0.655049248213253,-0.0865675233630146,0.00491666666666667,0.995083333333333
"south_africa_andrews - south_africa","23F",-0.0320399105371673,-0.0358447589421919,-0.384210332665402,0.340739222016279,0.419333333333333,0.580666666666667
"south_africa_vdl_pcv7 - south_africa","4",-0.244477843670358,-0.176298633550637,-1.20826483929004,0.283168831016053,0.223,0.777
"south_africa_vdl_pcv7 - south_africa","6B",-0.267430631598376,-0.247810953428021,-0.741719959525854,0.0929807443631602,0.07725,0.92275
"south_africa_vdl_pcv7 - south_africa","9V",0.285719884259474,0.328603687640856,-0.767813433295068,1.03453435450064,0.794333333333333,0.205666666666667
"south_africa_vdl_pcv7 - south_africa","14",0.155142293868242,0.17347747558314,-0.367502467451476,0.570764513144178,0.7675,0.2325
"south_africa_vdl_pcv7 - south_africa","18C",0.593410662586373,0.583985132868661,0.127555048731417,1.12088331784188,0.994416666666667,0.00558333333333333
"south_africa_vdl_pcv7 - south_africa","19F",-0.0863644017296267,-0.0885883477981383,-0.463614525785282,0.305094578730563,0.314833333333333,0.685166666666667
"south_africa_vdl_pcv7 - south_africa","23F",0.237898090593247,0.231771447368581,-0.216697738596562,0.707546442290226,0.85725,0.14275
