"contrast","diff_mean","diff_median","diff_lo","diff_hi","p_gt_0","p_lt_0"
"navajo - nckp",-0.0609458272616472,-0.0588291817402508,-0.495435743539388,0.356682215990367,0.37775,0.62225
"south_africa - nckp",-0.0858682883146914,-0.083341338556817,-0.523429828061323,0.342924673805131,0.330666666666667,0.669333333333333
