"contrast","diff_mean","diff_median","diff_lo","diff_hi","p_gt_0","p_lt_0"
"navajo_andrews - nckp_andrews",-0.0502400748217915,-0.0489127486003837,-0.288013958688585,0.187178905900663,0.3195,0.6805
"south_africa_andrews - nckp_andrews",-0.0997027392049581,-0.0990027249126296,-0.386148823309343,0.184885366348847,0.221583333333333,0.778416666666667
"nckp_vdl_pcv7 - nckp_andrews",0.178252426464432,0.189004776078825,-0.182748758463094,0.477052578707231,0.885583333333333,0.114416666666667
"navajo_vdl_pcv7 - nckp_andrews",0.132978792452964,0.142278959167526,-0.255530070902105,0.44950211663823,0.813833333333333,0.186166666666667
"south_africa_vdl_pcv7 - nckp_andrews",0.08103136249128,0.0988552004202881,-0.374960019993725,0.430059349224236,0.714083333333333,0.285916666666667
