"analysis_id","predictor_label","serotype","b1_mean","b1_median","b1_lo","b1_hi","rr_median","rr_lo","rr_hi","p_negative"
"wisspar_de","WISSPAR NCT00366340 PCV13/PCV7 GMC (Germany)","1",-0.571292691292796,-0.570061308085592,-0.724155759128342,-0.428257067246149,0.56549076848033,0.484733628199593,0.651643876968488,1
"wisspar_tw","WISSPAR NCT00688870 PCV13/PCV7 GMC (Taiwan)","1",-0.436822698342793,-0.435923405275528,-0.550459279429899,-0.324579811806112,0.646667255338817,0.576684890041383,0.722831014898804,1
"wisspar_kr","WISSPAR NCT00689351 PCV13/PCV7 GMC (South Korea)","1",-0.396415606503826,-0.396007759704399,-0.5019138098448,-0.2933035602985,0.673001473624629,0.605370985416903,0.745795712362569,1
"wisspar_de_vdl_pcv13","WISSPAR NCT00366340 PCV13/PCV7 GMC (Germany)","1",-0.688480687954757,-0.67843905974995,-1.11550776018669,-0.333913043703477,0.507408408736474,0.327748818840829,0.716116050319484,1
"wisspar_tw_vdl_pcv13","WISSPAR NCT00688870 PCV13/PCV7 GMC (Taiwan)","1",-0.53948197940456,-0.523857482521231,-0.924954353847936,-0.25118699948725,0.592231612949615,0.396549519621553,0.777876895376817,0.999916666666667
"wisspar_kr_vdl_pcv13","WISSPAR NCT00689351 PCV13/PCV7 GMC (South Korea)","1",-0.49366272318802,-0.480001986565404,-0.840005760534933,-0.227229499655246,0.618782162553683,0.431708036552692,0.796737910230686,1
"wisspar_de","WISSPAR NCT00366340 PCV13/PCV7 GMC (Germany)","3",-0.205420266485442,-0.206047856925011,-0.343800941167847,-0.0592058855397309,0.813794129666357,0.709070060660388,0.942512699443883,0.996083333333333
"wisspar_tw","WISSPAR NCT00688870 PCV13/PCV7 GMC (Taiwan)","3",-0.211018786023004,-0.212745112154605,-0.36465469647208,-0.0489745455262587,0.808362152647345,0.694436400821466,0.952205367276544,0.99475
"wisspar_kr","WISSPAR NCT00689351 PCV13/PCV7 GMC (South Korea)","3",-0.186387963769089,-0.188406685781621,-0.315269039628508,-0.0506813305768629,0.82827778992719,0.729592558550972,0.950581543543806,0.996083333333333
"wisspar_de_vdl_pcv13","WISSPAR NCT00366340 PCV13/PCV7 GMC (Germany)","3",-0.489094634124165,-0.488520243642355,-0.821079706501739,-0.158334344336876,0.613533603044569,0.439956374212841,0.853564349848303,0.997666666666667
