"contrast","serotype","diff_mean","diff_median","diff_lo","diff_hi","p_gt_0","p_lt_0"
"wisspar_tw - wisspar_de","1",0.134469992950003,0.133378319788334,-0.0488857938159025,0.324567033369509,0.92275,0.07725
"wisspar_tw - wisspar_de","3",-0.00559851953756131,-0.00540945883014446,-0.218942746710814,0.206354183018366,0.480166666666667,0.519833333333333
"wisspar_tw - wisspar_de","6A",-0.245966985368936,-0.244869281228138,-1.17833648484198,0.684293276216859,0.30325,0.69675
"wisspar_tw - wisspar_de","7F",0.048113450408488,0.047416206096966,-0.128617685539878,0.223556822920248,0.706083333333333,0.293916666666667
"wisspar_tw - wisspar_de","19A",-2.1133544258537,-2.03139103945311,-3.69405163339584,-1.0146271257301,0,1
"wisspar_kr - wisspar_de","1",0.17487708478897,0.174465722543942,-0.00396567906081585,0.357476600252311,0.972,0.028
"wisspar_kr - wisspar_de","3",0.0190323027163532,0.0195208832763894,-0.174148109963698,0.214886908336767,0.578416666666667,0.421583333333333
"wisspar_kr - wisspar_de","6A",0.0841051528435029,0.0835571020552984,-0.723095014854942,0.900423792610818,0.577916666666667,0.422083333333333
"wisspar_kr - wisspar_de","7F",0.120712369952192,0.120806710106997,-0.0435930884370236,0.28336344847407,0.926916666666667,0.0730833333333333
"wisspar_kr - wisspar_de","19A",-0.841678869394407,-0.821832764699159,-1.53831599317643,-0.251449618532043,0.001,0.999
"wisspar_de_vdl_pcv13 - wisspar_de","1",-0.11718799666196,-0.110439157116767,-0.56375172322206,0.270552832534668,0.296333333333333,0.703666666666667
"wisspar_de_vdl_pcv13 - wisspar_de","3",-0.283674367638722,-0.282254312330482,-0.65191767142791,0.07676486757829,0.0595,0.9405
"wisspar_de_vdl_pcv13 - wisspar_de","6A",-0.29127656425138,-0.18023944252892,-2.20924757389982,0.92982532400437,0.402,0.598
"wisspar_de_vdl_pcv13 - wisspar_de","7F",-0.287766766064035,-0.252049626436434,-0.903712151775478,0.126611824021919,0.113416666666667,0.886583333333333
"wisspar_de_vdl_pcv13 - wisspar_de","19A",0.174958145191979,0.177834009456639,-0.312642470028236,0.641488355979207,0.7715,0.2285
"wisspar_tw_vdl_pcv13 - wisspar_de","1",0.0318107118882368,0.0451031892326447,-0.377091795759005,0.364056524030552,0.597583333333333,0.402416666666667
"wisspar_tw_vdl_pcv13 - wisspar_de","3",-0.292951297886795,-0.289624146412378,-0.673237131388813,0.080837457125732,0.0583333333333333,0.941666666666667
"wisspar_tw_vdl_pcv13 - wisspar_de","6A",-1.05070417210729,-0.903612026425859,-3.54340677956668,0.527036345832557,0.1285,0.8715
"wisspar_tw_vdl_pcv13 - wisspar_de","7F",-0.300319037177792,-0.261754958238231,-0.986018805717054,0.158142818591556,0.132333333333333,0.867666666666667
"wisspar_tw_vdl_pcv13 - wisspar_de","19A",-1.13436610217375,-1.05573610395167,-3.03344917649518,0.291837812154129,0.0755,0.9245
"wisspar_kr_vdl_pcv13 - wisspar_de","1",0.077629968104776,0.0878178157402942,-0.298733826529312,0.394476503866989,0.696,0.304
"wisspar_kr_vdl_pcv13 - wisspar_de","3",-0.227312086164578,-0.226416177213705,-0.567748507587719,0.108015662656827,0.08775,0.91225
"wisspar_kr_vdl_pcv13 - wisspar_de","6A",-0.475559024973928,-0.366722497227683,-2.42276853381044,0.791829266294567,0.291416666666667,0.708583333333333
"wisspar_kr_vdl_pcv13 - wisspar_de","7F",-0.173218501404595,-0.143640999309545,-0.721288185862612,0.21574199196214,0.244416666666667,0.755583333333333
"wisspar_kr_vdl_pcv13 - wisspar_de","19A",-0.352467735461573,-0.324402345840827,-1.34610326418771,0.463299107828463,0.235666666666667,0.764333333333333
