"analysis_id","predictor_label","mu_b1_mean","mu_b1_median","mu_b1_lo","mu_b1_hi","rr_median","rr_lo","rr_hi","p_negative"
"wisspar_de","WISSPAR NCT00366340 PCV13/PCV7 GMC (Germany)",-0.726650849723145,-0.71736925360003,-1.33436041204873,-0.154518158829683,0.488034463547018,0.263326542091224,0.856827933008326,0.9885
"wisspar_tw","WISSPAR NCT00688870 PCV13/PCV7 GMC (Taiwan)",-1.17334943718901,-1.14759577202733,-2.49573674874019,-0.0280640100327115,0.317398952220685,0.0824356946190983,0.972326126182113,0.977416666666667
"wisspar_kr","WISSPAR NCT00689351 PCV13/PCV7 GMC (South Korea)",-0.817303927364656,-0.806249713567739,-1.64154497034335,-0.0174808699058327,0.446529543693558,0.193680580267889,0.982671034074682,0.9765
"wisspar_de_vdl_pcv13","WISSPAR NCT00366340 PCV13/PCV7 GMC (Germany)",-0.889628080366246,-0.840372103729972,-1.73828238797359,-0.294855867013853,0.431549912216912,0.175822135625636,0.744638906760831,0.992416666666667
"wisspar_tw_vdl_pcv13","WISSPAR NCT00688870 PCV13/PCV7 GMC (Taiwan)",-1.27376808752759,-1.20265399547208,-2.62940345947198,-0.291160959575332,0.300395903659402,0.0721214727901816,0.747395367894796,0.99075
"wisspar_kr_vdl_pcv13","WISSPAR NCT00689351 PCV13/PCV7 GMC (South Korea)",-0.964157649737798,-0.913690313739814,-1.97044689146828,-0.215486286518111,0.401041520861692,0.139394548059345,0.806149325296488,0.988583333333333
