"contrast","diff_mean","diff_median","diff_lo","diff_hi","p_gt_0","p_lt_0"
"wisspar_tw - wisspar_de",-0.446698587465868,-0.427885694048192,-1.86273947172106,0.86633556499744,0.244666666666667,0.755333333333333
"wisspar_kr - wisspar_de",-0.0906530776415104,-0.0900774247044488,-1.07830623717901,0.900710625294664,0.415916666666667,0.584083333333333
"wisspar_de_vdl_pcv13 - wisspar_de",-0.162977230643101,-0.136660842744271,-1.17281268673534,0.716284333215303,0.351833333333333,0.648166666666667
"wisspar_tw_vdl_pcv13 - wisspar_de",-0.54711723780445,-0.488358086024233,-2.01712773964689,0.629878873307402,0.187666666666667,0.812333333333333
"wisspar_kr_vdl_pcv13 - wisspar_de",-0.237506800014653,-0.206146998852033,-1.35989579836277,0.74659605244182,0.31875,0.68125
