"Table","Vaccine","Serotype","VE_Measure","Age_Range","Vaccine_Status","Cases","Total_Cases"
"Table2","PCV13","PCV7 serotypes in PCV13","post primary","74 to 729 days","Vaccinated",0,74
"Table2","PCV13","PCV7 serotypes in PCV13","post primary","74 to 729 days","Unvaccinated",6,26
"Table2","PCV13","PCV7 serotypes in PCV13","post booster","74 to 729 days","Vaccinated",0,33
"Table2","PCV13","PCV7 serotypes in PCV13","post booster","74 to 729 days","Unvaccinated",1,17
"Table2","PCV13","1","at least one dose","74 to 729 days","Vaccinated",2,196
"Table2","PCV13","1","at least one dose","74 to 729 days","Unvaccinated",5,48
"Table2","PCV13","1","post primary","74 to 729 days","Vaccinated",1,75
"Table2","PCV13","1","post primary","74 to 729 days","Unvaccinated",2,22
"Table2","PCV13","1","post booster","74 to 729 days","Vaccinated",0,33
"Table2","PCV13","1","post booster","74 to 729 days","Unvaccinated",1,17
"Table2","PCV13","3","at least one dose","74 to 729 days","Vaccinated",6,200
"Table2","PCV13","3","at least one dose","74 to 729 days","Unvaccinated",5,48
"Table2","PCV13","3","post primary","74 to 729 days","Vaccinated",1,75
"Table2","PCV13","3","post primary","74 to 729 days","Unvaccinated",2,22
"Table2","PCV13","3","post booster","74 to 729 days","Vaccinated",1,34
"Table2","PCV13","3","post booster","74 to 729 days","Unvaccinated",2,18
"Table2","PCV13","5","at least one dose","74 to 729 days","Vaccinated",0,194
"Table2","PCV13","5","at least one dose","74 to 729 days","Unvaccinated",0,43
"Table2","PCV13","5","post primary","74 to 729 days","Vaccinated",0,74
"Table2","PCV13","5","post primary","74 to 729 days","Unvaccinated",0,20
"Table2","PCV13","5","post booster","74 to 729 days","Vaccinated",0,33
"Table2","PCV13","5","post booster","74 to 729 days","Unvaccinated",0,16
"Table2","PCV13","6A","at least one dose","74 to 729 days","Vaccinated",0,194
"Table2","PCV13","6A","at least one dose","74 to 729 days","Unvaccinated",4,47
"Table2","PCV13","6A","post primary","74 to 729 days","Vaccinated",0,74
"Table2","PCV13","6A","post primary","74 to 729 days","Unvaccinated",1,21
"Table2","PCV13","6A","post booster","74 to 729 days","Vaccinated",0,33
"Table2","PCV13","6A","post booster","74 to 729 days","Unvaccinated",2,18
"Table2","PCV13","7F","at least one dose","74 to 729 days","Vaccinated",1,195
"Table2","PCV13","7F","at least one dose","74 to 729 days","Unvaccinated",12,55
"Table2","PCV13","7F","post primary","74 to 729 days","Vaccinated",0,74
"Table2","PCV13","7F","post primary","74 to 729 days","Unvaccinated",2,22
"Table2","PCV13","7F","post booster","74 to 729 days","Vaccinated",0,33
"Table2","PCV13","7F","post booster","74 to 729 days","Unvaccinated",0,16
"Table2","PCV13","19A","at least one dose","74 to 729 days","Vaccinated",14,208
"Table2","PCV13","19A","at least one dose","74 to 729 days","Unvaccinated",17,60
"Table2","PCV13","19A","post primary","74 to 729 days","Vaccinated",8,82
"Table2","PCV13","19A","post primary","74 to 729 days","Unvaccinated",9,29
"Table2","PCV13","19A","post booster","74 to 729 days","Vaccinated",1,34
"Table2","PCV13","19A","post booster","74 to 729 days","Unvaccinated",7,23
