Study_Period,Serotype,Vaccine_Status,Cases,Total_Cases
Early (May 2010-May 2014),20,3+ PCV13 doses,3,708
Early (May 2010-May 2014),17F,No PCV doses,0,100
Early (May 2010-May 2014),17F,1-2 PCV13 doses,1,353
Early (May 2010-May 2014),17F,3+ PCV13 doses,0,708
Early (May 2010-May 2014),28A,No PCV doses,0,100
Early (May 2010-May 2014),28A,1-2 PCV13 doses,1,353
Early (May 2010-May 2014),28A,3+ PCV13 doses,1,708
Early (May 2010-May 2014),34,No PCV doses,0,100
Early (May 2010-May 2014),34,1-2 PCV13 doses,0,353
Early (May 2010-May 2014),34,3+ PCV13 doses,1,708
Early (May 2010-May 2014),11B,No PCV doses,0,100
Early (May 2010-May 2014),11B,1-2 PCV13 doses,1,353
Early (May 2010-May 2014),11B,3+ PCV13 doses,0,708
Early (May 2010-May 2014),10F,No PCV doses,0,100
Early (May 2010-May 2014),10F,1-2 PCV13 doses,0,353
Early (May 2010-May 2014),10F,3+ PCV13 doses,0,708
Early (May 2010-May 2014),33A,No PCV doses,0,100
Early (May 2010-May 2014),33A,1-2 PCV13 doses,0,353
Early (May 2010-May 2014),33A,3+ PCV13 doses,0,708
Early (May 2010-May 2014),15F,No PCV doses,0,100
Early (May 2010-May 2014),15F,1-2 PCV13 doses,0,353
Early (May 2010-May 2014),15F,3+ PCV13 doses,0,708
Early (May 2010-May 2014),18F,No PCV doses,0,100
Early (May 2010-May 2014),18F,1-2 PCV13 doses,0,353
Early (May 2010-May 2014),18F,3+ PCV13 doses,0,708
Early (May 2010-May 2014),35D,No PCV doses,0,100
Early (May 2010-May 2014),35D,1-2 PCV13 doses,0,353
Early (May 2010-May 2014),35D,3+ PCV13 doses,0,708
Early (May 2010-May 2014),24F/24A/24,No PCV doses,0,100
Early (May 2010-May 2014),24F/24A/24,1-2 PCV13 doses,0,353
Early (May 2010-May 2014),24F/24A/24,3+ PCV13 doses,0,708
Early (May 2010-May 2014),24F/A/B,No PCV doses,0,100
Early (May 2010-May 2014),24F/A/B,1-2 PCV13 doses,0,353
Early (May 2010-May 2014),24F/A/B,3+ PCV13 doses,0,708
Early (May 2010-May 2014),35B:35D,No PCV doses,0,100
Early (May 2010-May 2014),35B:35D,1-2 PCV13 doses,0,353
Early (May 2010-May 2014),35B:35D,3+ PCV13 doses,0,708
Early (May 2010-May 2014),NT,No PCV doses,0,100
Early (May 2010-May 2014),NT,1-2 PCV13 doses,0,353
Early (May 2010-May 2014),NT,3+ PCV13 doses,1,708
Late (Jun 2014-Dec 2019),19A,No PCV doses,8,100
Late (Jun 2014-Dec 2019),19A,1-2 PCV13 doses,7,353
Late (Jun 2014-Dec 2019),19A,3+ PCV13 doses,24,708
Late (Jun 2014-Dec 2019),3,No PCV doses,4,100
Late (Jun 2014-Dec 2019),3,1-2 PCV13 doses,6,353
Late (Jun 2014-Dec 2019),3,3+ PCV13 doses,21,708
Late (Jun 2014-Dec 2019),7F,No PCV doses,0,100
Late (Jun 2014-Dec 2019),7F,1-2 PCV13 doses,0,353
Late (Jun 2014-Dec 2019),7F,3+ PCV13 doses,0,708
Late (Jun 2014-Dec 2019),19F,No PCV doses,14,100
