"study_id","assay","dose_description","schedule","vaccine","serotype","value","lower_limit","upper_limit","phase","sponsor","location","n_reads"
"NCT00452790","GMC","1m post primary child","3+1 child","PCV7","4",2.58,2.26,2.95,"Phase 3","Pfizer","Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia",1
"NCT00688870","GMC","1m post primary child","3+1 child","PCV13 (Pfizer)","4",2.89,2.45,3.42,"Phase 3","Pfizer","Asia,Asia",1
"NCT00688870","GMC","1m post primary child","3+1 child","PCV7","4",4.64,4,5.37,"Phase 3","Pfizer","Asia,Asia",1
"NCT00689351","GMC","1m post primary child","3+1 child","PCV13 (Pfizer)","4",5.4,4.62,6.3,"Phase 2","Pfizer",",,,,,",1
"NCT00689351","GMC","1m post primary child","3+1 child","PCV7","4",6.97,5.94,8.18,"Phase 2","Pfizer",",,,,,",1
"NCT00205803","GMC","1m post primary child","3+1 child","PCV13 (Pfizer)","5",2.41,0,0,"Phase 1, Phase 2","Pfizer","North America",1
"NCT00205803","GMC","1m post primary child","3+1 child","PCV7","5",0.28,0,0,"Phase 1, Phase 2","Pfizer","North America",1
"NCT00366340","GMC","1m post primary child","3+1 child","PCV13 (Pfizer)","5",1.31,1.17,1.46,"Phase 3","Pfizer","Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe",1
"NCT00366340","GMC","1m post primary child","3+1 child","PCV7","5",0.2,0.18,0.23,"Phase 3","Pfizer","Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe",1
"NCT00452790","GMC","1m post primary child","3+1 child","PCV13 (Pfizer)","5",1.95,1.72,2.22,"Phase 3","Pfizer","Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia",1
"NCT00452790","GMC","1m post primary child","3+1 child","PCV7","5",0.03,0.03,0.04,"Phase 3","Pfizer","Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia",1
"NCT00688870","GMC","1m post primary child","3+1 child","PCV13 (Pfizer)","5",2.47,2.09,2.92,"Phase 3","Pfizer","Asia,Asia",1
"NCT00688870","GMC","1m post primary child","3+1 child","PCV7","5",0.43,0.35,0.53,"Phase 3","Pfizer","Asia,Asia",1
