"analysis_id","predictor_label","outcome_label","level","b1_mean","b1_median","b1_lo","b1_hi","rr_median","rr_lo","rr_hi","p_negative"
"nckp","NCKP immunogenicity (US, Whitney/Kaiser)","Whitney IPD case counts (NCKP surveillance)","global",-0.653403883660408,-0.645056957544137,-0.946696977653708,-0.399665006059194,0.524632659467723,0.388020549685769,0.670544636805635,0.999416666666667
"nckp","NCKP immunogenicity (US, Whitney/Kaiser)","Whitney IPD case counts (NCKP surveillance)","4",-0.599166589158905,-0.594897046167155,-0.831780462225393,-0.390021373143362,0.551619354271282,0.435273607776916,0.677042403819164,1
"nckp","NCKP immunogenicity (US, Whitney/Kaiser)","Whitney IPD case counts (NCKP surveillance)","6B",-0.381830020107022,-0.380215360131043,-0.541439917140614,-0.232416601965338,0.683714148587255,0.581909747010733,0.792615849194506,1
"nckp","NCKP immunogenicity (US, Whitney/Kaiser)","Whitney IPD case counts (NCKP surveillance)","9V",-0.931135335164201,-0.906058678232726,-1.4199452033245,-0.592833584308808,0.404113832040245,0.241727262384485,0.552758774940399,1
"nckp","NCKP immunogenicity (US, Whitney/Kaiser)","Whitney IPD case counts (NCKP surveillance)","14",-0.631718158014149,-0.627191188661705,-0.815573298512485,-0.472347521511522,0.534089853785165,0.442385635620905,0.623536782815494,1
"nckp","NCKP immunogenicity (US, Whitney/Kaiser)","Whitney IPD case counts (NCKP surveillance)","18C",-0.895207460665999,-0.878783763002969,-1.2478069495746,-0.628708376079773,0.415287692909083,0.287133805798883,0.533280153767542,1
"nckp","NCKP immunogenicity (US, Whitney/Kaiser)","Whitney IPD case counts (NCKP surveillance)","19F",-0.44020378183851,-0.439505968096437,-0.625550448260706,-0.259194169153,0.644354674229344,0.534966875872072,0.771673173369616,1
"nckp","NCKP immunogenicity (US, Whitney/Kaiser)","Whitney IPD case counts (NCKP surveillance)","23F",-0.708365004020664,-0.701031270039821,-0.985435676598678,-0.473930329204453,0.496073454218322,0.373276563641325,0.622550624654073,1
